,Line,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7
0,your abilities are too infant-like for doing much alone. ,character_traits__nature,LIFE'S CYCLE,social_relations,,,,
1,"the common-wealth is sicke of an ague, of which nothing can cure her but some violent and suddaine affrightment.",politics,medicine,women,violence,emotions,,
2,"look not down unto the Hellish shades, There stand the furies thirsting for your blood,",sensations,spatial,religion,darkness,myth,food,anatomy
3,I have liued too long in darknesse,life,time,darkness,,,,
4,"The Prince, [Â] binds him in a love-chain.",politics,incarceration,emotions,,,,
5,what's he then that says I play the villain?,theatre,ethics,,,,,
6,Some o' their plants are ill-rooted already: the least wind i' the world will blow them down.,nature,consumption,violence,,,,
7,the Fates will not permit (As gems once lost are seldome or neuer found) I should convay it vvith me. ,mystical,social_relations,economics,privation,discovering,,
8,The glory of theÂ RomanÂ name is lost,recognition,politics,language,privation,,,
9,"The main blaze of it [the insurrections] is past, but a small thing would make it flame again:",fire,social_unrest,size,,,,
10,lopped a branch sprung from a royall tree:,violence,nature,social_status,,,,
11,"[It is impossible you should see this [sex]] As salt as wolves in pride,",privation,sensations,sexuality,food,animals,character_traits__nature,
12,"Wilt you be hold the Sepulchers of Kings, and Monuments that speak the workmen's praise?",death,politics,architecture,language,labor,recognition,
13,I have put Much of my heart into him.,quantities,anatomy,spatial,,,,
14,my ioyes so vaste Makes me seeme lost,emotions,spatial,privation,,,,
15,"They [country-wolves] sing like sirens when corn goes out [expoted] by shipfulls, ",geography,animals,music,myth,food,economics,nautical
16,"BeÂ Jovial & likeÂ Salmecis,Â your love Shall cling about your necke.",myth,emotions,adhesion,anatomy,,,
17,"the thought whereof Doth, like a poisonous mineral, gnaw my inwards;",mental_faculty__state__entities,violence,nature,food,anatomy,,
18,Tis not a time For private stomaching.,time,domestic,food,,,,
19,"If imputation and strong circumstances, Which lead directly to the door of truth, will give you satisfaction",judiciary,social_relations,architecture,language,feelings,,
20,"death sits heavy, On their fair foreheads with his leaden mace.",death,appearance,weight,anatomy,weapons__armor,,
21,thou bloodier villain Than terms ,violence,ethics,language,,,,
22,"I am past my patient bloode,",time,character_traits__nature,anatomy,,,,
23,whence heares he that any stormes are rising?,sensations,nature,,,,,
24,[a Lawyer that turnes] justice into lust:,judiciary,transformation,sexuality,,,,
25,see in me How you are powr'd downe from your cleerest heauens;,sensations,character_traits__nature,social_relations,spatial,religion,,
26,"when he meant to quail and shake the orb, He was as rattling thunder.",emotions,violence,astrology,sounds,nature,,
27,"It is the sweetest box that e'er my nose came nigh, The finest drawn-work cuff that e'er was worn.",sexuality,anatomy,spatial,violence,clothes,,
28,"To cosen women is a trade 'mongst men,",deception,women,economics,men,,,
29,"where I have garner'd up my heart, Where either I must live, or bear no life; The fountain from the which my current runs, Or else dries up; to be discarded thence!",architecture,anatomy,life,labor,nature,movement,consumption
30,"Shame to our name, to make your self a Beast",etiquette,language,animals,,,,
31,"earth, Hear not my steps, which way they walk, ",nature,sensations,movement,spatial,,,
