Line,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7
"Fortune, not Reason, rules the state of things,",MYSTICAL,MENTAL FACULTY,POLITICS,NATURE,,,
"Reward goes backwards,",ECONOMICS,MOVEMENT,SPATIAL,,,,
Honor on his head;,RECOGNITION,ANATOMY,,,,,
"Who is not poore, is monstrous; ",ECONOMICS,DEFORMITIES,,,,,
only Need Giues forme & worth to every humane seed.,EMOTIONS,APPEARANCE,ECONOMICS,HUMANITY,AGRICULTURE,,
"As Cedars beaten with incessant stormes, So great men flourish;",NATURE,VIOLENCE,SOCIAL STATUS,POLITICS,,,
"[great men] imitate Vnskilfull statuaries, who suppose (In forging a Colossus) if they make him Stroddle enough, stroote, and looke big, and gape, Their worke is goodly: ",SOCIAL STATUS,ART,APPEARANCE,MOVEMENT,SIZE,FACIAL EXPRESSIONS,LABOR
 our Tympanist statists  Thinke they beare all the kingdomes worth before them;,SOUNDS,POLITICS,LABOR,ECONOMICS,,,
"[Statists] affected grauitie of voice, Sowernesse of countenance, […] and all the spawn of Fortune",POLITICS,MENTAL FACULTY,SOUNDS,FACIAL EXPRESSIONS,ETIQUETTE,REPRODUCTION,MYSTICAL
"[Statists] manners cruelty, Authority, wealth and all the spawn of Fortune",POLITICS,ETIQUETTE,CHARACTER TRAITS,ECONOMICS,REPRODUCTION,MYSTICAL,
"[statists] differ not from those Colossicke Statues, Which with Heroique formes, without o'respread, Within are nought but morter, flint and lead.",POLITICS,ART,CHARACTER TRAITS,APPEARANCE,SPATIAL,MATERIALS,
Man is a Torch borne in the winde; ,MEN,FIRE,LABOR,NATURE,,,
"[Man is] a Dreame But of a shadow, summ'd with all his substance;",MEN,MENTAL FACULTY,DARKNESS,ECONOMICS,,,
"as great Seamen vsing all their powers And skils in Neptunes deepe inuisible pathes,",NAUTICAL,PHYSICAL ATTRIBUTES,MENTAL FACULTY,MYTH,APPEARANCE,GEOGRAPHY,
"In tall ships richly built and ribd with brasse, To put a Girdle round about the world,",NAUTICAL,ECONOMICS,CLOTHES,GEOGRAPHY,NATURE,,
