Line,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7
"when they are ripe, makes so many fallings. viz, Mad wenches because they are not gathered in time, are faine to drop of them selues,",architecture,consumption,mental_faculty__state__entities,women,time,feelings,sexuality
his [the horse's] skin sticks to his back with very heate,equestrian,anatomy,adhesion,temperature,,,
the true picture of a Common seruingman.,art,social_status,,,,,
for shee beares the blowes.,reproduction,violence,,,,,
"the lefte hand of her wit, and nere be here owne woman agen.",anatomy,mental_faculty__state__entities,time,women,,,
he owes more then his skins worth.,economics,quantities,anatomy,,,,
he calls his wife whore as familiarly as one would cal Mal & Dol,language,matrimony,social_relations,sexuality,,,
"That Ryotts child must needs be beggery,",character_traits__nature,reproduction,economics,,,,
"Dice, and voluptuous meetings, midnight Reuels, Taking his bed with surfetts ",games__sports,sexuality,darkness,joviality,food,domestic,
"that which killes me most, When he recounts his Losses [] The [weaknes of his state] soe much deiected, Not as a man repentant: but halfe madd:",violence,language,economics,character_traits__nature,feelings,religion,mental_faculty__state__entities
"that he frights my heart,",emotions,anatomy,,,,,
"Walks heauyly, as if his soule were earth:",movement,weight,religion,nature,,,
his mony cannot make them [his sins] last.,economics,religion,preservation,,,,
to driue it [the sins] from his heart.,hunting__fishing,religion,anatomy,,,,
"the last throw, it made Fiue hundred Angels vanish from my sight, Ime damnd, Ime damnd: the Angels haue forsook me",games__sports,quantities,economics,appearance,sensations,religion,privation
"A vengeance strip thee naked, ",violence,clothes,,,,,
both beggery of the soule as of the bodie.,economics,religion,anatomy,,,,
As if some vexed spirit Had got his form vpon him.,emotions,religion,appearance,,,,
"that morgage sits like a snaffle vpon mine inheritance, and makes me chew vpon Iron. ",economics,equestrian,food,materials,,,
"the Deuill scornes to be a bawde. He beares himselfe more proudly, has more care on's credit.",religion,derision__offense___contempt,sexuality,etiquette,character_traits__nature,recognition,
"Ha done thou [wife] harlot, ",matrimony,sexuality,,,,,
"thy wordes Shall kill my pleasures,",language,violence,games__sports,,,,
I will not bate A whit in humor,privation,architecture,mental_faculty__state__entities,,,,
"Midnight, still I loue you, And reuel in your Company; ",darkness,emotions,social_relations,,,,
Curbd in?,equestrian,spatial,,,,,
