key,value
 ',
 accommodation,accommodation
 ACCOMMODATION,accommodation
 adhesion,adhesion
 ADHESION,adhesion
 affection,affection
 AFFECTION,affection
 AGRICULTURE,architecture
 agriculture,architecture
 alchemy,alchemy
 ALCHEMY,alchemy
 ANATOMY,anatomy
 anatomy,anatomy
 animals,animals
 ANIMALS,animals
 APPEARANCE,appearance
 appearance,appearance
 ARCHITECTURE,architecture
 architecture,architecture
 ART,art
 art,art
 ASSISTANCE,assistance
 assistance,assistance
 ASTROLOGY,astrology
 astrology,astrology
 breathing,breathing
 BREATHING,breathing
 CHARACTER TRAITS,character_traits__nature
 character traits,character_traits__nature
 character traits & nature,character_traits__nature
 character traits & nature ,character_traits__nature
 CHARATER TRAITS,character_traits__nature
 cleaning,cleaning
 CLEANING,cleaning
 clothes,clothes
 CLOTHES,clothes
 COLORS,colors
 colors,colors
 COMMANDS,commands
 commands,commands
 CONCEALMENT,concealment
 concealment,concealment
 CONSUMPTION,consumption
 CONSUMPTIoN,consumption
 consumption,consumption
 CONTEMPT,contempt
 COURTING,courting
 courting,courting
 DANGER&SAFETY,danger__safety
 danger,danger__safety
 DANGER &  SAFETY,danger__safety
 danger & safety,danger__safety
 DANGER & SAFETY,danger__safety
 DANGER&SAFETY,danger__safety
 danger&safety,danger__safety
 DARKNESS,darkness
 darkness,darkness
 DEATH,death
 death,death
 DECEPTION,deception
 deception,deception
 DEFORMITIES,deformities__disabilities
 deformities,deformities__disabilities
 deformities&disabilities,deformities__disabilities
 DEFORMITIES&DISABILITIES,deformities__disabilities
 derision,derision__offense___contempt
 DERISION,derision__offense___contempt
 derision&offense,derision__offense___contempt
 DESTRUCTION,destruction
 destruction,destruction
 devotion,devotion
 DEVOTION,devotion
 DISCOVERING,discovering
 discovering,discovering
 DOMESTIC,domestic
 domestic,domestic
 economics,economics
 ECONOMICS,economics
 EDUCATION,education
 education,education
 eduction,education
 EMOTIONS,emotions
 emotions,emotions
 equestrian,equestrian
 EQUESTRIAN,equestrian
 ethics,ethics
 ETHICS,ethics
 ethnicity,ethnicity__nationality
 ETHNICITY,ethnicity__nationality
 ETHNICITY & NATIONALITY,ethnicity__nationality
 ethnicity&nationality,ethnicity__nationality
 ETHNICITY&NATIONALITY,ethnicity__nationality
 etiquette,etiquette
 ETIQUETTE,etiquette
 FACIAL EXPRESSIONS,facial_expressions
 facial expressions,facial_expressions
 FAMILIAL,familial
 familial,familial
 FEELINGS,feelings
 feelings,feelings
 FEELNIGS,feelings
 fire,fire
 FIRE,fire
 food,food
 FOOD,food
 games & sport,games__sports
 GAMES & SPORT,games__sports
 games & sports,games__sports
 games&sport,games__sports
 GAMES&SPORTS,games__sports
 geogarphy,geography
 geography,geography
 GEOGRAPHY,geography
 greetings,greetings
 GREETINGS,greetings
 heraldry,heraldry
 HERALDRY,heraldry
 HERLADRY,heraldry
 HINDRANCE,hindrance
 hindrance,hindrance
 historical,historical
 HISTORICAL,historical
 humanity,humanity
 HUMANITY,humanity
 hunting,hunting__fishing
 HUNTING & FISHING,hunting__fishing
 hunting & fishing,hunting__fishing
 HUNTING&FISHING,hunting__fishing
 hunting&fishing,hunting__fishing
 incarceration,incarceration
 INCARCERaTION,incarceration
 INCARCERATION,incarceration
 INJURIES,injuries
 injuries,injuries
 joviality,joviality
 JOVIALITY,joviality
 JUDICIARY,judiciary
 judiciary,judiciary
 LABOR,labor
 labor,labor
 language,language
 LANGUAGE,language
 LIFE,life
 life,life
LIFE'S CYCLE,lifes_cycle
 LIFES CYCLE,lifes_cycle
 lifes cycle,lifes_cycle
 LIGHT,light
 light,light
 LUCK,luck
 luck,luck
 materials,materials
 MATERIALS,materials
 matrimony,matrimony
 MATRIMONY,matrimony
 MEDICINE,medicine
 medicine,medicine
 men,men
 MEN,men
 MENTAL FACULTY,mental_faculty__state__entities
 mental faculty,mental_faculty__state__entities
 mental faculty & state,mental_faculty__state__entities
 MENTAL FACULTY&STATES,mental_faculty__state__entities
 military,military
 MILITARY,military
 movement,movement
 MOVEMENT,movement
 MUSIC,music
 music,music
 MYSTICAL,mystical
 mystical,mystical
 MYTH,myth
 myth,myth
 NATURE,nature
 nature,nature
 NAUTICAL,nautical
 nautical,nautical
 PHYSICAL ACTIVITIES,physical_activities
 physical activities,physical_activities
 PHYSICAL ATTRIBUTES,physical_attributes
 physical attributes,physical_attributes
 PHYSTICAL ATTRIBUTES,physical_attributes
 politics,politics
 POLITICS,politics
 preservation,preservation
 PRESERVATION,preservation
 privation,privation
 PRIVATION,privation
 QUANTITIES,quantities
 QUANTITiES,quantities
 quantities,quantities
 RECOGNITINO,recognition
 recognition,recognition
 RECOGNITION,recognition
 RELIGION,religion
 religion,religion
 REPRODUCTION,reproduction
 reproduction,reproduction
 resistance,resistance
 RESISTANCE,resistance
 SENSATIONS,sensations
 sensations,sensations
 sexuality,sexuality
 SEXUALITY,sexuality
 SEXUALIY,sexuality
 size,size
 SIZE,size
 sleep,sleep
 SLEEP,sleep
 social relation,social_relations
 SOCIAL RELATIONS,social_relations
 social relations,social_relations
 SOCIAL STATUS,social_status
 social status,social_status
 SOCIAL UNREST,social_unrest
 social unrest,social_unrest
 SOUNDS,sounds
 sounds,sounds
 SPATIAL,spatial
 spatial,spatial
 SPEED,speed
 speed,speed
 sports & games,sports & games
 sptial,spatial
 SUFFERING,suffering
 suffering,suffering
 temeprature,temperature
 temperature,temperature
 TEMPERATURE,temperature
 THEATRE,theatre
 theatre,theatre
 time,time
 TIME,time
 transformation,transformation
 TRANSFORMATION,transformation
 urban,urban
 URBAN,urban
 VIOLENCE,violence
 violence,violence
 weapons,weapons__armor
 WEAPONS & ARMOR,weapons__armor
 weapons & armor,weapons__armor
 weapons&armor,weapons__armor
 WEAPONS&ARMOR,weapons__armor
 weight,weight
 WEIGHT,weight
 WOMEN,women
 women,women
